source,Teff,logg,logL,Mass,Mass_std,R_Rsun,n_points,filename
ATLAS,10000,2.0,4.53000020980835,12.868000030517578,4.037073750774272,61.30280805356552,346,atlas-or-phoenix-100-20.txt
ATLAS,10000,2.5,3.678999900817871,6.892000198364258,2.3052016918005545,23.013369679618105,346,atlas-or-phoenix-100-25.txt
ATLAS,10000,3.0,3.062999963760376,4.609000205993652,1.3068638924851232,11.323488552184122,346,atlas-or-phoenix-100-30.txt
ATLAS,10000,3.5,2.4019999504089355,3.2079999446868896,0.6306916115866693,5.290299246890728,346,atlas-or-phoenix-100-35.txt
ATLAS,10000,4.0,1.7910000085830688,2.509000062942505,0.46723113531300847,2.618064053448791,346,atlas-or-phoenix-100-40.txt
ATLAS,10000,4.5,1.3619999885559082,2.1489999294281006,0.3385784585811,1.5976449013748018,346,atlas-or-phoenix-100-45.txt
ATLAS,10500,2.0,4.5329999923706055,12.868000030517578,4.39699844459555,55.795819612218764,346,atlas-or-phoenix-105-20.txt
ATLAS,10500,2.5,3.8499999046325684,7.708000183105469,2.8050926190004506,25.415673203179114,346,atlas-or-phoenix-105-25.txt
ATLAS,10500,3.0,3.2219998836517334,5.072999954223633,1.446127120760493,12.33393363145426,346,atlas-or-phoenix-105-30.txt
ATLAS,10500,3.5,2.5390000343322754,3.499000072479248,0.6774543213456594,5.618258047127493,346,atlas-or-phoenix-105-35.txt
ATLAS,10500,4.0,1.909000039100647,2.6470000743865967,0.5072484538263577,2.7202053153094945,346,atlas-or-phoenix-105-40.txt
ATLAS,10500,4.5,1.4789999723434448,2.2990000247955322,0.3844517158843205,1.6580653803159144,346,atlas-or-phoenix-105-45.txt
ATLAS,11000,2.0,4.735000133514404,14.98799991607666,5.662636321752232,64.14974877599519,346,atlas-or-phoenix-110-20.txt
ATLAS,11000,2.5,4.017000198364258,8.656999588012695,2.95201794939471,28.066935225356087,346,atlas-or-phoenix-110-25.txt
ATLAS,11000,3.0,3.2230000495910645,5.072999954223633,1.5149670181574681,11.251098270541817,346,atlas-or-phoenix-110-30.txt
ATLAS,11000,3.5,2.611999988555908,3.763000011444092,0.7484868357069506,5.567944368845091,346,atlas-or-phoenix-110-35.txt
ATLAS,11000,4.0,2.0739998817443848,2.9140000343322754,0.5371594011593274,2.9970558359291317,346,atlas-or-phoenix-110-40.txt
ATLAS,11000,4.5,1.5959999561309814,2.4649999141693115,0.43776115477386435,1.7286014431166417,346,atlas-or-phoenix-110-45.txt
ATLAS,12000,2.5,4.193999767303467,9.795000076293945,3.6085313732496154,28.914631046873957,346,atlas-or-phoenix-120-25.txt
ATLAS,12000,3.0,3.5420000553131104,6.198999881744385,1.8523852643602645,13.64953319495923,346,atlas-or-phoenix-120-30.txt
ATLAS,12000,3.5,2.8559999465942383,4.191999912261963,0.8759410681716473,6.1960903894929045,346,atlas-or-phoenix-120-35.txt
ATLAS,12000,4.0,2.2039999961853027,3.2070000171661377,0.5945134858758401,2.9249454402044375,346,atlas-or-phoenix-120-40.txt
ATLAS,12000,4.5,1.809000015258789,2.799999952316284,0.5314872016031376,1.856170127489344,346,atlas-or-phoenix-120-45.txt
ATLAS,13000,2.5,4.373000144958496,11.185999870300293,4.204321364436613,30.275660832824137,346,atlas-or-phoenix-130-25.txt
ATLAS,13000,3.0,3.703000068664551,6.889999866485596,2.2664175621150773,13.998889749803162,346,atlas-or-phoenix-130-30.txt
ATLAS,13000,3.5,3.009000062942505,4.60099983215332,1.0572087770048888,6.296418558854379,346,atlas-or-phoenix-130-35.txt
ATLAS,13000,4.0,2.380000114440918,3.5369999408721924,0.6493862689357334,3.0520638581196966,346,atlas-or-phoenix-130-40.txt
ATLAS,13000,4.5,1.9229999780654907,3.0,0.5548076294188448,1.8034061563324202,346,atlas-or-phoenix-130-45.txt
ATLAS,14000,2.0,5.421000003814697,26.242000579833984,9.204497909325191,87.24171493409648,346,atlas-or-phoenix-140-20.txt
ATLAS,14000,2.5,4.561999797821045,12.866000175476074,7.167294190273913,32.45070161060419,346,atlas-or-phoenix-140-25.txt
ATLAS,14000,3.0,3.867000102996826,7.705999851226807,2.7184641968311296,14.5788827650021,346,atlas-or-phoenix-140-30.txt
ATLAS,14000,3.5,3.171999931335449,5.071000099182129,1.1970538627765133,6.549741467658846,346,atlas-or-phoenix-140-35.txt
ATLAS,14000,4.0,2.5390000343322754,3.9000000953674316,0.7769386878186303,3.160270151509214,346,atlas-or-phoenix-140-40.txt
ATLAS,14000,4.5,2.1589999198913574,3.4639999866485596,0.6292979013303012,2.040441519375575,346,atlas-or-phoenix-140-45.txt
ATLAS,15000,2.5,4.760000228881836,14.987000465393066,9.488567982098141,35.505682060228224,346,atlas-or-phoenix-150-25.txt
ATLAS,15000,3.0,4.0320000648498535,8.654999732971191,3.125514437779788,15.356695671286484,346,atlas-or-phoenix-150-30.txt
ATLAS,15000,3.5,3.3340001106262207,5.5929999351501465,1.4006073797798912,6.875397322569629,346,atlas-or-phoenix-150-35.txt
ATLAS,15000,4.0,2.7699999809265137,4.548999786376953,0.8758486398313063,3.5916808228470236,346,atlas-or-phoenix-150-40.txt
ATLAS,15000,4.5,2.311000108718872,3.805999994277954,0.7363453812682805,2.117375091194718,346,atlas-or-phoenix-150-45.txt
PHOENIX,3800,2.0,2.193000078201294,1.5579999685287476,0.9589287160112251,28.801367542021783,346,atlas-or-phoenix-038-20.txt
PHOENIX,3800,2.5,1.8179999589920044,1.5499999523162842,0.7568346288825168,18.7030764791647,346,atlas-or-phoenix-038-25.txt
PHOENIX,3800,3.0,1.4390000104904175,1.5460000038146973,0.9465822589857397,12.089631834543027,346,atlas-or-phoenix-038-30.txt
PHOENIX,3800,3.5,-0.3569999933242798,0.5199999809265137,0.17230066042964,1.529019674153892,346,atlas-or-phoenix-038-35.txt
PHOENIX,3800,4.0,-0.45399999618530273,0.6980000138282776,0.24743681045483173,1.3674550900958689,346,atlas-or-phoenix-038-40.txt
PHOENIX,3800,4.5,-0.9110000133514404,0.699999988079071,0.16958940673885534,0.808003168047231,346,atlas-or-phoenix-038-45.txt
PHOENIX,4000,2.0,2.193000078201294,1.5579999685287476,0.951605259011757,25.993234206674657,346,atlas-or-phoenix-040-20.txt
PHOENIX,4000,2.5,1.7910000085830688,1.5490000247955322,0.6270590426074228,16.362900334054945,346,atlas-or-phoenix-040-25.txt
PHOENIX,4000,3.0,1.3980000019073486,1.5460000038146973,0.7124751740261531,10.407832201759984,346,atlas-or-phoenix-040-30.txt
PHOENIX,4000,3.5,-0.22599999606609344,0.6159999966621399,0.2318362173448202,1.6045759657113718,346,atlas-or-phoenix-040-35.txt
PHOENIX,4000,4.0,-0.3330000042915344,0.7160000205039978,0.30718644216139257,1.4186010556185809,346,atlas-or-phoenix-040-40.txt
PHOENIX,4000,4.5,-0.8769999742507935,0.699999988079071,0.17953608496009402,0.7583335907640978,346,atlas-or-phoenix-040-45.txt
PHOENIX,4200,2.0,2.1519999504089355,1.5570000410079956,1.043592438266924,22.489596206798243,346,atlas-or-phoenix-042-20.txt
PHOENIX,4200,2.5,1.7879999876022339,1.5490000247955322,0.5825680086219063,14.790459837692506,346,atlas-or-phoenix-042-25.txt
PHOENIX,4200,3.0,1.3980000019073486,1.5460000038146973,0.41409962516948257,9.440210613841254,346,atlas-or-phoenix-042-30.txt
PHOENIX,4200,3.5,-0.12099999934434891,0.7009999752044678,0.4894408167650827,1.6424103872342413,346,atlas-or-phoenix-042-35.txt
PHOENIX,4200,4.0,-0.24899999797344208,0.75,0.3826981664209136,1.4173649330498408,346,atlas-or-phoenix-042-40.txt
PHOENIX,4200,4.5,-0.7059999704360962,0.75,0.19274317905655444,0.8374939867638501,346,atlas-or-phoenix-042-45.txt
PHOENIX,4400,2.0,2.2639999389648438,1.9559999704360962,1.085997932347152,23.31175016139766,346,atlas-or-phoenix-044-20.txt
PHOENIX,4400,2.5,1.7450000047683716,1.5490000247955322,0.6306736467580402,12.825517951912246,346,atlas-or-phoenix-044-25.txt
PHOENIX,4400,3.0,1.3980000019073486,1.5460000038146973,0.3573855010374498,8.601514216330564,346,atlas-or-phoenix-044-30.txt
PHOENIX,4400,3.5,-0.024000000208616257,0.75,0.6017910782871426,1.6733042357196048,346,atlas-or-phoenix-044-35.txt
PHOENIX,4400,4.0,-0.11999999731779099,0.8989999890327454,0.4402096931722991,1.4982176596945724,346,atlas-or-phoenix-044-40.txt
PHOENIX,4400,4.5,-0.628000020980835,0.7990000247955322,0.20823944654723203,0.8347855060378299,346,atlas-or-phoenix-044-45.txt
PHOENIX,4600,2.0,2.630000114440918,3.8380000591278076,1.128191516153414,32.50608430272188,346,atlas-or-phoenix-046-20.txt
PHOENIX,4600,2.5,1.7450000047683716,1.5490000247955322,0.655155633647841,11.734500356759032,346,atlas-or-phoenix-046-25.txt
PHOENIX,4600,3.0,1.343000054359436,1.5449999570846558,0.38806373145077594,7.386940949068488,346,atlas-or-phoenix-046-30.txt
PHOENIX,4600,3.5,1.003999948501587,1.5420000553131104,0.5206056615222638,4.999937485619607,346,atlas-or-phoenix-046-35.txt
PHOENIX,4600,4.0,0.10300000011920929,1.0989999771118164,0.45231537414026574,1.7720036012926625,346,atlas-or-phoenix-046-40.txt
PHOENIX,4600,4.5,-0.5019999742507935,0.8500000238418579,0.22325027211708262,0.883007948597034,346,atlas-or-phoenix-046-45.txt
PHOENIX,4800,2.0,2.7880001068115234,4.611999988555908,1.2068724684004157,35.80946578480643,346,atlas-or-phoenix-048-20.txt
PHOENIX,4800,2.5,1.944000005722046,2.11299991607666,0.7040926856748578,13.551825211730678,346,atlas-or-phoenix-048-25.txt
PHOENIX,4800,3.0,1.343000054359436,1.5449999570846558,0.41664413138512063,6.784187086904914,346,atlas-or-phoenix-048-30.txt
PHOENIX,4800,3.5,0.9789999723434448,1.5410000085830688,0.508940304385239,4.461673386497606,346,atlas-or-phoenix-048-35.txt
PHOENIX,4800,4.0,0.24899999797344208,1.3240000009536743,0.45723605625845126,1.9252972376594033,346,atlas-or-phoenix-048-40.txt
PHOENIX,4800,4.5,-0.44600000977516174,0.8389999866485596,0.23333069550268282,0.8649635049558964,346,atlas-or-phoenix-048-45.txt
PHOENIX,5000,2.0,2.813999891281128,4.611999988555908,1.258795747375471,34.00479808762423,346,atlas-or-phoenix-050-20.txt
PHOENIX,5000,2.5,2.132999897003174,2.8489999771118164,0.7262456948437367,15.525307234835227,346,atlas-or-phoenix-050-25.txt
PHOENIX,5000,3.0,1.472000002861023,1.9500000476837158,0.4370939852400333,7.25337709011508,346,atlas-or-phoenix-050-30.txt
PHOENIX,5000,3.5,0.9700000286102295,1.5410000085830688,0.4777213128556277,4.069492656448934,346,atlas-or-phoenix-050-35.txt
PHOENIX,5000,4.0,0.39800000190734863,1.562999963760376,0.46251812019833954,2.106397136794027,346,atlas-or-phoenix-050-40.txt
PHOENIX,5000,4.5,-0.3610000014305115,0.8640000224113464,0.23730671846454834,0.8791039958712129,346,atlas-or-phoenix-050-45.txt
PHOENIX,5200,2.0,2.8580000400543213,4.611999988555908,1.3667866673576066,33.07300040890914,346,atlas-or-phoenix-052-20.txt
PHOENIX,5200,2.5,2.3570001125335693,3.507999897003174,0.7613261922294361,18.576916647885355,346,atlas-or-phoenix-052-25.txt
PHOENIX,5200,3.0,1.5809999704360962,2.2899999618530273,0.44500249559130506,7.602799919277037,346,atlas-or-phoenix-052-30.txt
PHOENIX,5200,3.5,0.9490000009536743,1.5399999618530273,0.43264772321732636,3.672599550189581,346,atlas-or-phoenix-052-35.txt
PHOENIX,5200,4.0,0.49399998784065247,1.7489999532699585,0.4602071982010013,2.1750716616272734,346,atlas-or-phoenix-052-40.txt
PHOENIX,5200,4.5,-0.289000004529953,0.8849999904632568,0.23988069226701977,0.8830261682050293,346,atlas-or-phoenix-052-45.txt
PHOENIX,5400,2.0,3.059999942779541,5.076000213623047,1.4667438087901752,38.69837379452895,346,atlas-or-phoenix-054-20.txt
PHOENIX,5400,2.5,2.4119999408721924,3.507999897003174,0.7858075659777295,18.352393574360118,346,atlas-or-phoenix-054-25.txt
PHOENIX,5400,3.0,1.753999948501587,2.490000009536743,0.4495040294793096,8.603847777630115,346,atlas-or-phoenix-054-30.txt
PHOENIX,5400,3.5,1.0759999752044678,1.6619999408721924,0.39457906330054043,3.941783175029666,346,atlas-or-phoenix-054-35.txt
PHOENIX,5400,4.0,0.5690000057220459,1.7990000247955322,0.4301702701017514,2.1988355339426655,346,atlas-or-phoenix-054-40.txt
PHOENIX,5400,4.5,-0.17499999701976776,0.9200000166893005,0.2423151514060877,0.9336685826651467,346,atlas-or-phoenix-054-45.txt
PHOENIX,5600,2.0,3.069999933242798,5.076000213623047,1.586558128824324,36.4002340469494,346,atlas-or-phoenix-056-20.txt
PHOENIX,5600,2.5,2.4590001106262207,3.506999969482422,0.8314828550213893,18.0137555414513,346,atlas-or-phoenix-056-25.txt
PHOENIX,5600,3.0,1.6920000314712524,2.2890000343322754,0.49177865734277565,7.449107216507409,346,atlas-or-phoenix-056-30.txt
PHOENIX,5600,3.5,1.1339999437332153,1.6610000133514404,0.3763261180905826,3.9183586192766677,346,atlas-or-phoenix-056-35.txt
PHOENIX,5600,4.0,0.6050000190734863,1.7489999532699585,0.3994337749710696,2.1311019133944984,346,atlas-or-phoenix-056-40.txt
PHOENIX,5600,4.5,-0.15299999713897705,0.9490000009536743,0.23106706266300384,0.8904390772146383,346,atlas-or-phoenix-056-45.txt
PHOENIX,5800,2.0,3.242000102996826,5.6020002365112305,1.3451089095206685,41.364171287522,346,atlas-or-phoenix-058-20.txt
PHOENIX,5800,2.5,2.4730000495910645,3.506999969482422,0.9192435400935554,17.0657076352759,346,atlas-or-phoenix-058-25.txt
PHOENIX,5800,3.0,1.8969999551773071,2.489000082015991,0.5024109366431528,8.792740457999653,346,atlas-or-phoenix-058-30.txt
PHOENIX,5800,3.5,1.194000005722046,1.659999966621399,0.3782347767776785,3.914031163796182,346,atlas-or-phoenix-058-35.txt
PHOENIX,5800,4.0,0.6589999794960022,1.6779999732971191,0.38153101859122107,2.1140938659232855,346,atlas-or-phoenix-058-40.txt
PHOENIX,5800,4.5,-0.052000001072883606,1.0,0.22973602033929547,0.9324472572243397,346,atlas-or-phoenix-058-45.txt
PHOENIX,6000,2.0,3.250999927520752,5.6020002365112305,1.3245739571880253,39.055097511681836,346,atlas-or-phoenix-060-20.txt
PHOENIX,6000,2.5,2.6429998874664307,3.8359999656677246,1.021913073425554,19.394460643434464,346,atlas-or-phoenix-060-25.txt
PHOENIX,6000,3.0,1.9179999828338623,2.48799991607666,0.553300130846179,8.417395901299377,346,atlas-or-phoenix-060-30.txt
PHOENIX,6000,3.5,1.4700000286102295,2.9159998893737793,0.38651221586176027,5.025482639074818,346,atlas-or-phoenix-060-35.txt
PHOENIX,6000,4.0,0.6809999942779541,1.5829999446868896,0.3789378995231016,2.026178766669647,346,atlas-or-phoenix-060-40.txt
PHOENIX,6000,4.5,0.06400000303983688,1.0989999771118164,0.22481342947143176,0.9958129373883682,346,atlas-or-phoenix-060-45.txt
PHOENIX,6200,2.0,3.259000062942505,5.6020002365112305,1.3571516202182026,36.914493675948094,346,atlas-or-phoenix-062-20.txt
